"","ind1","ind2","weight","transformed_weight"
"1","111150","112111",1,0
"2","111150","112120",1,0
"3","111150","325191",1,0
"4","111219","111339",0.3333333,1.098612
"5","111219","111422",0.6666667,0.4054651
"6","111219","311421",0.3333333,1.098612
"7","111219","424480",0.3333333,1.098612
"8","111219","523920",0.3333333,1.098612
"9","111219","531210",0.3333333,1.098612
"10","111219","541710",0.3333333,1.098612
"11","111310","111930",1,0
"12","111310","112111",1,0
"13","111310","523999",1,0
"14","111332","312130",0.3333333,1.098612
"15","111332","531190",0.3333333,1.098612
"16","111219","111339",0.3333333,1.098612
"17","111339","111422",0.3333333,1.098612
"18","111339","311421",1,0
"19","111421","444220",0.3333333,1.098612
"20","111421","531120",0.3333333,1.098612
"21","111421","533110",0.3333333,1.098612
"22","111219","111422",0.4,0.9162907
"23","111339","111422",0.2,1.609438
"24","111422","311421",0.2,1.609438
"25","111422","442299",0.2,1.609438
"26","111422","523920",0.2,1.609438
"27","111422","531210",0.2,1.609438
"28","111422","541320",0.2,1.609438
"29","111920","211111",0.5,0.6931472
"30","111310","111930",1,0
"31","111930","112111",1,0
"32","111930","523999",1,0
"33","111150","112111",0.5,0.6931472
"34","111310","112111",0.5,0.6931472
"35","111930","112111",0.5,0.6931472
"36","112111","112120",0.5,0.6931472
"37","112111","325191",0.5,0.6931472
"38","112111","523999",0.5,0.6931472
"39","112112","453920",1,0
"40","112112","531120",1,0
"41","111150","112120",1,0
"42","112111","112120",1,0
"43","112120","325191",1,0
"44","112210","115112",0.5,0.6931472
"45","112210","311119",0.5,0.6931472
"46","112210","311512",0.5,0.6931472
"47","112210","311611",0.5,0.6931472
"48","112210","522298",0.5,0.6931472
"49","112512","325612",0.3333333,1.098612
"50","112512","333991",0.3333333,1.098612
"51","112512","541380",0.3333333,1.098612
"52","112512","541620",0.3333333,1.098612
"53","112990","541710",1,0
"54","113110","113310",0.125,2.079442
"55","113110","115113",0.125,2.079442
"56","113110","115310",0.125,2.079442
"57","113110","211111",0.125,2.079442
"58","113110","236117",0.125,2.079442
"59","113110","237210",0.125,2.079442
"60","113110","321113",0.125,2.079442
"61","113110","322121",0.125,2.079442
"62","113110","322122",0.125,2.079442
"63","113110","322130",0.25,1.386294
"64","113110","322211",0.125,2.079442
"65","113110","322214",0.125,2.079442
"66","113110","424110",0.125,2.079442
"67","113110","482111",0.125,2.079442
"68","113110","523999",0.125,2.079442
"69","113110","531390",0.125,2.079442
"70","113210","113310",0.3333333,1.098612
"71","113210","213113",0.3333333,1.098612
"72","113210","322130",0.3333333,1.098612
"73","113210","322224",0.3333333,1.098612
"74","113210","513210",0.3333333,1.098612
"75","113210","522320",0.3333333,1.098612
"76","113210","541613",0.3333333,1.098612
"77","113110","113310",0.0833333,2.484907
"78","113210","113310",0.0833333,2.484907
"79","113310","236115",0.0833333,2.484907
"80","113310","237210",0.0833333,2.484907
"81","113310","321113",0.25,1.386294
"82","113310","321912",0.1666667,1.791759
"83","113310","322110",0.0833333,2.484907
"84","113310","322121",0.5,0.6931472
"85","113310","322122",0.0833333,2.484907
"86","113310","322130",0.25,1.386294
"87","113310","322211",0.25,1.386294
"88","113310","322224",0.0833333,2.484907
"89","113310","423310",0.0833333,2.484907
"90","113310","424110",0.0833333,2.484907
"91","113310","424130",0.0833333,2.484907
"92","113310","488310",0.0833333,2.484907
"93","113310","513210",0.0833333,2.484907
"94","113310","522320",0.0833333,2.484907
"95","113310","541613",0.0833333,2.484907
"96","114112","313111",1,0
"97","114112","531120",1,0
"98","114112","721110",1,0
"99","112210","115112",0.3333333,1.098612
"100","115112","221310",0.3333333,1.098612
"101","115112","311119",0.6666667,0.4054651
"102","115112","311211",0.3333333,1.098612
"103","115112","311512",0.3333333,1.098612
"104","115112","424720",0.3333333,1.098612
"105","115112","522298",0.3333333,1.098612
"106","113110","115113",1,0
"107","115113","211111",1,0
"108","115114","233110",0.5,0.6931472
"109","115114","311119",0.5,0.6931472
"110","115114","424720",0.5,0.6931472
"111","113110","115310",1,0
"112","115310","236117",1,0
"113","111920","211111",0.0037879,5.575949
"114","113110","211111",0.0037879,5.575949
"115","115113","211111",0.0037879,5.575949
"116","211111","211112",0.0227273,3.78419
"117","211111","212111",0.0037879,5.575949
"118","211111","212112",0.0075758,4.882802
"119","211111","212210",0.0037879,5.575949
"120","211111","212234",0.0037879,5.575949
"121","211111","212319",0.0037879,5.575949
"122","211111","212321",0.0037879,5.575949
"123","211111","212399",0.0037879,5.575949
"124","211111","213111",0.0340909,3.378725
"125","211111","213112",0.0340909,3.378725
"126","211111","221112",0.0037879,5.575949
"127","211111","221119",0.0227273,3.78419
"128","211111","221121",0.0037879,5.575949
"129","211111","221210",0.0530303,2.936892
"130","211111","221330",0.0075758,4.882802
"131","211111","237110",0.0037879,5.575949
"132","211111","237120",0.0037879,5.575949
"133","211111","237130",0.0037879,5.575949
"134","211111","237210",0.0037879,5.575949
"135","211111","237990",0.0037879,5.575949
"136","211111","316110",0.0037879,5.575949
"137","211111","324110",0.0795455,2.531427
"138","211111","325110",0.0227273,3.78419
"139","211111","325131",0.0037879,5.575949
"140","211111","325181",0.0037879,5.575949
"141","211111","325192",0.0037879,5.575949
"142","211111","325199",0.0075758,4.882802
"143","211111","325211",0.0113636,4.477337
"144","211111","325311",0.0037879,5.575949
"145","211111","325998",0.0037879,5.575949
"146","211111","331111",0.0037879,5.575949
"147","211111","331312",0.0037879,5.575949
"148","211111","331315",0.0037879,5.575949
"149","211111","331316",0.0037879,5.575949
"150","211111","339999",0.0037879,5.575949
"151","211111","422470",0.0037879,5.575949
"152","211111","422710",0.0075758,4.882802
"153","211111","422720",0.0075758,4.882802
"154","211111","423810",0.0037879,5.575949
"155","211111","424710",0.0113636,4.477337
"156","211111","424720",0.0378788,3.273364
"157","211111","454312",0.0037879,5.575949
"158","211111","483211",0.0037879,5.575949
"159","211111","484121",0.0037879,5.575949
"160","211111","486210",0.0871212,2.440455
"161","211111","486910",0.0113636,4.477337
"162","211111","486990",0.0037879,5.575949
"163","211111","511210",0.0037879,5.575949
"164","211111","512199",0.0037879,5.575949
"165","211111","517110",0.0037879,5.575949
"166","211111","517910",0.0037879,5.575949
"167","211111","518111",0.0037879,5.575949
"168","211111","523999",0.0037879,5.575949
"169","211111","531120",0.0037879,5.575949
"170","211111","533110",0.0037879,5.575949
"171","211111","541360",0.0037879,5.575949
"172","211111","541618",0.0037879,5.575949
"173","211111","541620",0.0037879,5.575949
"174","211111","561320",0.0037879,5.575949
"175","211111","211112",0.6,0.5108256
"176","211112","221119",0.2,1.609438
"177","211112","221210",0.2,1.609438
"178","211112","324110",0.1,2.302585
"179","211112","325199",0.1,2.302585
"180","211112","422720",0.1,2.302585
"181","211112","424710",0.1,2.302585
"182","211112","424720",0.4,0.9162907
"183","211112","486210",0.4,0.9162907
"184","211112","486990",0.1,2.302585
"185","211112","517310",0.1,2.302585
"186","211111","212111",0.1666667,1.791759
"187","212111","212210",0.3333333,1.098612
"188","212111","212221",0.3333333,1.098612
"189","212111","212234",0.3333333,1.098612
"190","212111","212299",0.3333333,1.098612
"191","212111","221119",0.1666667,1.791759
"192","212111","333924",0.1666667,1.791759
"193","212111","335211",0.1666667,1.791759
"194","212111","424720",0.1666667,1.791759
"195","212111","453998",0.1666667,1.791759
"196","212111","488490",0.1666667,1.791759
"197","212111","517110",0.3333333,1.098612
"198","212111","541512",0.1666667,1.791759
"199","211111","212112",0.2857143,1.252763
"200","212112","212221",0.1428571,1.94591
"201","212112","324110",0.1428571,1.94591
"202","212112","331419",0.1428571,1.94591
"203","212112","423810",0.1428571,1.94591
"204","212112","541512",0.1428571,1.94591
"205","212113","212221",1,0
"206","212113","212234",1,0
"207","212113","212299",1,0
"208","212113","212391",1,0
"209","212113","322110",1,0
"210","212113","331111",1,0
"211","212113","541330",1,0
"212","211111","212210",0.25,1.386294
"213","212111","212210",0.5,0.6931472
"214","212210","212221",0.5,0.6931472
"215","212210","212234",0.75,0.2876821
"216","212210","212299",0.5,0.6931472
"217","212210","212399",0.25,1.386294
"218","212210","331111",0.25,1.386294
"219","212111","212221",0.0425532,3.157001
"220","212112","212221",0.0212766,3.850148
"221","212113","212221",0.0212766,3.850148
"222","212210","212221",0.0425532,3.157001
"223","212221","212222",0.0212766,3.850148
"224","212221","212234",0.0851064,2.463853
"225","212221","212291",0.0212766,3.850148
"226","212221","212299",0.0851064,2.463853
"227","212221","212391",0.0425532,3.157001
"228","212221","322110",0.0212766,3.850148
"229","212221","331111",0.0212766,3.850148
"230","212221","331419",0.0425532,3.157001
"231","212221","482111",0.0212766,3.850148
"232","212221","541330",0.0212766,3.850148
"233","212221","212222",0.25,1.386294
"234","212222","331492",0.25,1.386294
"235","211111","212234",0.1111111,2.197225
"236","212111","212234",0.2222222,1.504077
"237","212113","212234",0.1111111,2.197225
"238","212210","212234",0.3333333,1.098612
"239","212221","212234",0.4444444,0.8109302
"240","212234","212299",0.3333333,1.098612
"241","212234","212391",0.1111111,2.197225
"242","212234","212399",0.1111111,2.197225
"243","212234","322110",0.1111111,2.197225
"244","212234","331111",0.2222222,1.504077
"245","212234","331411",0.1111111,2.197225
